Type, App, Status, Path, Apk DPI, PROGUARD, Compiler SDK Version
amax-prebuilt, ASUSPartnerHomepageProvider, new, vendor/app-prebuilt/ZS620KL/amax-prebuilt/ASUSPartnerHomepageProvider-2.0, fulldpi, on, None
amax-prebuilt, AsusAnalytics, new, vendor/app-prebuilt/ZS620KL/amax-prebuilt/AsusAnalytics-2.0, fulldpi, on, None
amax-prebuilt, AsusBlockedNumberProvider, new, vendor/app-prebuilt/ZS620KL/amax-prebuilt/AsusBlockedNumberProvider-1.1, manual, None, None
amax-prebuilt, AsusBoost, new, vendor/app-prebuilt/ZS620KL/amax-prebuilt/AsusBoost-1.2, fulldpi, on, 21
amax-prebuilt, AsusCalculator, new, vendor/app-prebuilt/ZS620KL/amax-prebuilt/AsusCalculator-5.0, fulldpi, on, None
amax-prebuilt, AsusCamera, new, vendor/app-prebuilt/ZS620KL/amax-prebuilt/AsusCamera-5.0, manual, None, None
amax-prebuilt, AsusCellBroadcast, new, vendor/app-prebuilt/ZS620KL/amax-prebuilt/AsusCellBroadcast-26.0, fulldpi, on, None
amax-prebuilt, AsusConfigUpdater, new, vendor/app-prebuilt/ZS620KL/amax-prebuilt/AsusConfigUpdater-2.1, fulldpi, on, None
amax-prebuilt, AsusContacts, new, vendor/app-prebuilt/ZS620KL/amax-prebuilt/AsusContacts-4.0, fulldpi, on, None
amax-prebuilt, AsusContactsProvider, new, vendor/app-prebuilt/ZS620KL/amax-prebuilt/AsusContactsProvider-1.9, fulldpi, on, None
amax-prebuilt, AsusDefaultTheme, new, vendor/app-prebuilt/ZS620KL/amax-prebuilt/AsusDefaultTheme-4.0, fulldpi, off, None
amax-prebuilt, AsusDemoService, new, vendor/app-prebuilt/ZS620KL/amax-prebuilt/AsusDemoService-3.5, fulldpi, on, None
amax-prebuilt, AsusDemoUI, new, vendor/app-prebuilt/ZS620KL/amax-prebuilt/AsusDemoUI-3.5, fulldpi, on, None
amax-prebuilt, AsusDeskClock, new, vendor/app-prebuilt/ZS620KL/amax-prebuilt/AsusDeskClock-5.0, manual, None, None
amax-prebuilt, AsusEasyLauncher, new, vendor/app-prebuilt/ZS620KL/amax-prebuilt/AsusEasyLauncher-1.5, fulldpi, on, None
amax-prebuilt, AsusEmergencyHelp, new, vendor/app-prebuilt/ZS620KL/amax-prebuilt/AsusEmergencyHelp-1.0, fulldpi, on, None
amax-prebuilt, AsusEmergencyInfo, new, vendor/app-prebuilt/ZS620KL/amax-prebuilt/AsusEmergencyInfo-26.0, fulldpi, on, None
amax-prebuilt, AsusFMRadio, new, vendor/app-prebuilt/ZS620KL/amax-prebuilt/AsusFMRadio-1.61, manual, None, None
amax-prebuilt, AsusFMService, new, vendor/app-prebuilt/ZS620KL/amax-prebuilt/AsusFMService-1.62, manual, None, None
amax-prebuilt, AsusFaceUnlockService, new, vendor/app-prebuilt/ZS620KL/amax-prebuilt/AsusFaceUnlockService-1.3, fulldpi, off, None
amax-prebuilt, AsusGallery, new, vendor/app-prebuilt/ZS620KL/amax-prebuilt/AsusGallery-2.7, fulldpi, on, None
amax-prebuilt, AsusGalleryBurst, new, vendor/app-prebuilt/ZS620KL/amax-prebuilt/AsusGalleryBurst-2.1, fulldpi, on, None
amax-prebuilt, AsusInCallUI, new, vendor/app-prebuilt/ZS620KL/amax-prebuilt/AsusInCallUI-26.0, fulldpi, on, None
amax-prebuilt, AsusKidsLauncher, new, vendor/app-prebuilt/ZS620KL/amax-prebuilt/AsusKidsLauncher-1.3, fulldpi, on, None
amax-prebuilt, AsusLauncher, new, vendor/app-prebuilt/ZS620KL/amax-prebuilt/AsusLauncher-5.0, fulldpi, on, None
amax-prebuilt, AsusMediaProvider, new, vendor/app-prebuilt/ZS620KL/amax-prebuilt/AsusMediaProvider-8.1, fulldpi, off, None
amax-prebuilt, AsusPackageInstaller, new, vendor/app-prebuilt/ZS620KL/amax-prebuilt/AsusPackageInstaller-8.0, fulldpi, on, 26
amax-prebuilt, AsusSensorService, new, vendor/app-prebuilt/ZS620KL/amax-prebuilt/AsusSensorService-4.0, fulldpi, on, None
amax-prebuilt, AsusSetupWizard, new, vendor/app-prebuilt/ZS620KL/amax-prebuilt/AsusSetupWizard-5.6, fulldpi, on, None
amax-prebuilt, AsusSoundRecorder, new, vendor/app-prebuilt/ZS620KL/amax-prebuilt/AsusSoundRecorder-1.9, fulldpi, on, None
amax-prebuilt, AsusSplendid, new, vendor/app-prebuilt/ZS620KL/amax-prebuilt/AsusSplendid-1.8, fulldpi, on, None
amax-prebuilt, AsusSplendidCommandAgent, new, vendor/app-prebuilt/ZS620KL/amax-prebuilt/AsusSplendidCommandAgent-1.2, fulldpi, on, None
amax-prebuilt, AsusSystemDiagnostic, new, vendor/app-prebuilt/ZS620KL/amax-prebuilt/AsusSystemDiagnostic-1.0, fulldpi, on, 23
amax-prebuilt, AsusSystemUI, new, vendor/app-prebuilt/ZS620KL/amax-prebuilt/AsusSystemUI-1.19, fulldpi, off, None
amax-prebuilt, AsusThemeApp, new, vendor/app-prebuilt/ZS620KL/amax-prebuilt/AsusThemeApp-1.8, fulldpi, on, None
amax-prebuilt, AsusVisualMaster, new, vendor/app-prebuilt/ZS620KL/amax-prebuilt/AsusVisualMaster-1.3, fulldpi, on, 24
amax-prebuilt, AudioWizard, new, vendor/app-prebuilt/ZS620KL/amax-prebuilt/AudioWizard-8.0, fulldpi, off, None
amax-prebuilt, AudioWizardView, new, vendor/app-prebuilt/ZS620KL/amax-prebuilt/AudioWizardView-8.0, fulldpi, off, None
amax-prebuilt, BRApps, new, vendor/app-prebuilt/ZS620KL/amax-prebuilt/BRApps-1.1, fulldpi, on, 18
amax-prebuilt, BrowserGenie, new, vendor/app-prebuilt/ZS620KL/amax-prebuilt/BrowserGenie-1.3, fulldpi, on, None
amax-prebuilt, CSCBatterySOH, new, vendor/app-prebuilt/ZS620KL/amax-prebuilt/CSCBatterySOH-1.0, manual, None, None
amax-prebuilt, DMClient, new, vendor/app-prebuilt/ZS620KL/amax-prebuilt/DMClient-2.1, fulldpi, on, None
amax-prebuilt, DriveActivator, new, vendor/app-prebuilt/ZS620KL/amax-prebuilt/DriveActivator-1.0, fulldpi, on, 23
amax-prebuilt, FileManager, new, vendor/app-prebuilt/ZS620KL/amax-prebuilt/FileManager-2.3, fulldpi, on, None
amax-prebuilt, FocusAppListener, new, vendor/app-prebuilt/ZS620KL/amax-prebuilt/FocusAppListener-2.1, fulldpi, on, None
amax-prebuilt, GameBroadcaster, new, vendor/app-prebuilt/ZS620KL/amax-prebuilt/GameBroadcaster-5.0, fulldpi, on, None
amax-prebuilt, GameBroadcasterService, new, vendor/app-prebuilt/ZS620KL/amax-prebuilt/GameBroadcasterService-2.0, fulldpi, on, None
